Candidate ID,Name,Job Description,Experience,Skills,Education,Score
17,Candidate 17,looking for a golang developer with backend experience and scalability expertise,Senior Software Engineer Development Iii at LOCALIZA (Jan 2020 to N/A)  | Content Professor at GOVERNO DO ESTADO DO PARANÁ (Jan 2020 to Dec 2021)  | Chief Information Officer at INOLIVRY (Jan 2018 to Dec 2020)  | Software Architect at INTEGRAPIS START-UP (Jan 2017 to Dec 2019)  | Information Technology Infrastructure Analyst at USINA ALTO ALEGRE (Jan 2015 to Dec 2021)  | Partner at JC TECNOLOGIA DA INFORMAÇÃO (Jan 2011 to Dec 2015),Amazon Web Services (AWS)|SQL,Master of Business Administration Project Management at Centro de Inovação Vincit (N/A to N/A)  | Bachelor'S Information Technology and Management at Universidade Paulista (UNIP (N/A to Dec 2012)  | Master of Business Administration Architecture at Unylya (N/A to Dec 2018)  | Bachelor'S Systems Analysis and Development at UniCesumar (N/A to Dec 2018)  | Postgraduate Software Engineering at Centro de Inovação Vincit (N/A to Dec 2019),21.9
18,Candidate 18,looking for a golang developer with backend experience and scalability expertise,Software Market Specialist at Slashdot Media (Sep 2023 to N/A)  | Client Success Executive at Ecom Health Center (Apr 2023 to Jul 2023)  | People Operations Coordinator at Wexpand (Jan 2023 to Feb 2023)  | Team Lead at CIENCE (May 2022 to Dec 2022)  | Sdr at CIENCE (Jun 2021 to May 2022)  | Apprentice Consultant and Marketing at CUE ITESO (Aug 2020 to May 2021)  | Owner at Freelance (Jul 2018 to Jan 2020)  | Customer Service Representative at Teleperformance (Jan 2015 to Jun 2015),Not Provided,French and Foreign Language at Alliance Française (Sep 2021 to Nov 2021)  |  Advertising at Pontifical Bolivarian University (Jan 2020 to Jan 2020)  |  Advertising and Public Relations at University of the Basque Country (Jan 2017 to Jan 2018)  |  Advertising and Communications at Western Institute of Technology and Higher Education (Aug 2015 to May 2021),26.92
19,Candidate 19,looking for a golang developer with backend experience and scalability expertise,Sales Development Representative at RealityCreator.com (Mar 2024 to N/A)  | Team Lead at MADE OMNI (Jan 2022 to Mar 2024)  | Outreach Specialist at MADE OMNI (Sep 2021 to Jan 2022)  | Tutor at Self-employed (Jan 2019 to Aug 2021)  | English Teacher at Centro Electronico de Idiomas (Nov 2018 to Dec 2019),Not Provided,"Bachelor of Engineering Be, Ingeniería Civil at Rafael Urdaneta University (Jan 2017 to Jan 2024)",15.9
20,Candidate 20,looking for a golang developer with backend experience and scalability expertise,Business Development Manager at WEPayments (Apr 2024 to N/A)  | Global Sales Development Representative at FacilitaPay (Jan 2023 to Apr 2024)  | Sales Development Representative at FaçaAgora! (Mar 2021 to Jan 2023)  | Diretor De Projetos at Campe Consultoria Jr. (Jul 2020 to Dec 2020)  | Gerente De Negócios at Campe Consultoria Jr. (Feb 2020 to Jul 2020)  | Gerente De Projetos at Campe Consultoria Jr. (Jan 2020 to Jul 2020)  | Bolsista De Iniciação Científica at Universidade Federal de Juiz de Fora (Aug 2019 to Feb 2020)  | Consultor De Projetos at Campe Consultoria Jr. (Aug 2019 to Jan 2020),Not Provided,"Economia, Gestão at Federal University of Juiz de Fora (Jan 2018 to Jan 2022)",30.0
21,Candidate 21,looking for a golang developer with backend experience and scalability expertise,Sales Executive at Rubeus (Jan 2023 to N/A)  | Sales Development Representative at Rubeus (Aug 2022 to Dec 2022)  | Copywriter at Softaliza (Sep 2021 to Dec 2021)  | Marketing Analyst at Rubeus (Jul 2021 to Jul 2022)  | Marketing Intern at Rubeus (Dec 2020 to Jul 2021)  | President at In Bio - Empresa Júnior de Biologia (Mar 2019 to Mar 2020)  | Marketing Director at In Bio - Empresa Júnior de Biologia (Mar 2018 to Mar 2019),Not Provided,Bachelor Advertising and Marketing at Federal University of Minas Gerais (Jul 2021 to Jul 2025)  | Bachelor Biology at Federal University of Viçosa (Feb 2018 to Dec 2020)  | Technical Degree Information Technology at E. E. Dr. Olavo Tostes (Sep 2015 to Aug 2017)  | Bachelor International Business at Istanbul Commerce University (N/A to Mar 2024),33.7
22,Candidate 22,looking for a golang developer with backend experience and scalability expertise,International Marketing Assistant at Influu (Jan 2022 to Dec 2022)  | Sales Development Representative at Agmov Industrial Supplies (Jan 2022 to Dec 2023)  |  at Universidade Metodista de São Paulo (Jan 2016 to Dec 2018)  |  at Negócios Internacionais e Comércio Exterior (Jan 2013 to Dec 2015),Not Provided,Not Provided,14.1
23,Candidate 23,looking for a golang developer with backend experience and scalability expertise,Ambassador at EVOLVE Commerce Club (Apr 2024 to N/A)  | Community Manager at Kobe Apps (Jan 2024 to N/A)  | Business Analyst at Kobe Apps (Jan 2023 to Jan 2024)  | Sales Development Representative at Kobe Apps (Oct 2021 to Dec 2022)  | Business Development Representative at Tenex (Oct 2020 to Oct 2021)  | Sales Coordinator at AIESEC (Feb 2019 to Feb 2020)  | Sales Manager at AIESEC (Sep 2018 to Jan 2019),Not Provided,Bachelor & Bachelor of Law Law at Laureate Education (Jan 2018 to Dec 2022),21.9
24,Candidate 24,looking for a golang developer with backend experience and scalability expertise,Head of Business Development at Guru Labs Software & Blockchain Solutions (Feb 2024 to N/A)  | Sales Development Representative at Solvo Global (May 2023 to Feb 2024)  | Sales Supervisor at Chevrolet (Jul 2019 to May 2023),Not Provided,Bachelor of Engineering Computer Engineering at National University of Córdoba (Jan 2016 to Jan 2019)  | Bachelor'S Natural Sciences at Accademia dei Lincei (N/A to N/A)  | Bachelor'S Computer Programming at National University of Córdoba (N/A to Jan 2021),11.1
25,Candidate 25,looking for a golang developer with backend experience and scalability expertise,Latam Export Sales Executive at Superlon Worldwide Sdn. (Aug 2023 to Apr 2024)  | Sales Development Representative at Calyx (Feb 2022 to Jul 2023)  | Sales Development Representative at PMf Strategy (Feb 2022 to Jul 2023)  | Marketing Specialist at Chen Way Machinery Co. (Jun 2021 to Feb 2022)  | Technical Translator at OKIOLABS (Apr 2021 to N/A),Not Provided,Master of Business Administration Technology Management at National Tsing Hua University (Jan 2019 to Jan 2021),17.4
26,Candidate 26,looking for a golang developer with backend experience and scalability expertise,Advisory Board at Apollo.io (May 2023 to N/A)  | Sales Development Representative at FullStack Labs (Aug 2022 to N/A)  | Business Development Representative at Lean Solutions Group (May 2021 to Aug 2022)  | Business Development Representative at Linkage Logistics (May 2021 to Aug 2022),Not Provided,Engineer'S Degree Ingeniería Mecánica at University of Antioquia (N/A to Jan 2019),23.2
27,Candidate 27,looking for a golang developer with backend experience and scalability expertise,Sales Development Representative at CIENCE (Mar 2023 to Aug 2024)  | Marketing Manager at NeuroClic (Feb 2023 to N/A)  | Sales Development Representative at NeuroClic (Feb 2023 to N/A)  | Sales Development Representative at LOS ANDES ABERTURAS (Aug 2022 to Feb 2023)  | Human Resources Manager at Unplugged.Import (Mar 2020 to Aug 2022)  | Sales and Marketing Specialist at Unplugged.Import (Mar 2020 to Aug 2022)  | Inventory Control Specialist at Unplugged.Import (Mar 2020 to Aug 2022)  | Graphic Designer at Unplugged.Import (Mar 2020 to Aug 2022)  | Sales Manager at Unplugged.Import (Mar 2020 to Aug 2022)  | Community Manager at Unplugged.Import (Mar 2020 to Aug 2022),Not Provided,at Kin Zulfan (EG Method) (Dec 2023 to Jun 2034)  |  Technical Analysis at 1-1 Massi (Multi Time Frame Trader) (Nov 2023 to Dec 2024)  |  Technical Analysis at 1-1 Giovanni (Addition to decision levels of orange) (Oct 2023 to Dec 2023)  |  Technical Analysis at 1-1 ZLANK - MALAYSIAN SnR (Sep 2023 to Nov 2023)  |  Technical Analysis at 1-1 Orange Soldier (Decision level trader) (Sep 2023 to Nov 2023),30.68
28,Candidate 28,looking for a golang developer with backend experience and scalability expertise,Astor My Impact Windows at OOH Backoffice (Mar 2023 to Apr 2024)  | Ooh Manager at Elitgon (Aug 2014 to Mar 2016)  | Desarrollador Node.Js/Reactjs/Typescript at Ries (Jan 2012 to Jun 2014),Software Development|Analytical Skills|Ruby on Rails|Amazon Web Services (AWS)|Docker Products|Application Programming Interfaces (API),Not Provided,9.6
29,Candidate 29,looking for a golang developer with backend experience and scalability expertise,Senior Ruby at  (Jun 2023 to N/A)  | Senior Ruby and Rails Engineer at SIDEKICK FRANCHISE (May 2022 to Aug 2023)  | Remote at GoGet (Aug 2021 to Dec 2022)  | Backend Developer at Ruby on Rails Developer (Sep 2020 to Apr 2023)  | Rails Engineer at  (Sep 2017 to N/A),Ruby on Rails,Not Provided,20.76
30,Candidate 30,looking for a golang developer with backend experience and scalability expertise,Assistant Community Manager at Kushner Companies (N/A to N/A)  | Portfolio Property Manager at Kushner Companies (N/A to N/A)  | Leasing Consultant at Morgan Properties (N/A to N/A),Not Provided,Bachelor of Arts Communications and Broadcast Journalism at Bloomfield College (N/A to Jul 2015),8.4
31,Candidate 31,looking for a golang developer with backend experience and scalability expertise,Business Development Manager at Doble Via Latam (Jan 2015 to N/A)  | Sales Executive at Intag (Dec 2014 to Dec 2015)  | Customer Care Representative at Hewlett Packard (Mar 2013 to Mar 2015)  | Customer Care Representative at Amadeus (Apr 2012 to Mar 2013)  | Customer Counseling at International Customer Care (N/A to N/A),Microsoft Excel|English,Bachelor Marketing and Business at University of Belgrano (Mar 2009 to Dec 2011),16.2
32,Candidate 32,looking for a golang developer with backend experience and scalability expertise,Translator at UNC (N/A to N/A),Not Provided,Not Provided,1.8
33,Candidate 33,looking for a golang developer with backend experience and scalability expertise,"Cloud Engineer at Amarello (Apr 2024 to N/A)  | Devops Enginner at hobops.io (Jan 2023 to Jun 2024)  | Devops Engineer and Developer at AT&T, México (Oct 2016 to Dec 2022)",Not Provided,"Ingeniería, Ingeniería Eléctrica, Electrónica Y De Comunicaciones at National Polytechnic Institute College of Engineering and Physical-Mathematic Sciences (Jan 2010 to Jan 2014)",12.76
34,Candidate 34,looking for a golang developer with backend experience and scalability expertise,"Devops Engineer, Release Engineer and Automation Engineer at AstraZeneca (May 2021 to N/A)  | Devops Engineer and Release Engineer at AstraZeneca (Nov 2018 to Apr 2021)  | Software Developer at HCL Technologies (Mar 2018 to Nov 2018)  | Software Developer at Dextra Technologies (Aug 2017 to Feb 2018)  | Software Developer and Business Analyst at Amdocs (Apr 2016 to Aug 2017)  | Software Developer at Softtek (Jul 2015 to Mar 2016)  | Software Developer at Tata Consultancy Services (Nov 2013 to Jul 2015)",Not Provided,Bachelor of Science Computer Science at Universidad Tecnológica de Guadalajara ( UTEG ) (Jan 2010 to Jan 2014),31.48
35,Candidate 35,looking for a golang developer with backend experience and scalability expertise,Lead Systems Engeenier at EPAM Systems (Feb 2024 to N/A)  | Devops Engineer at EPAM Systems (Jun 2022 to N/A)  | Devops Engineer at IBM (Nov 2021 to Jun 2022)  | Devops Engineer at Softtek (Oct 2019 to Nov 2021),Not Provided,"Computer Systems, Networking and Telecommunications at Universidad Politécnica del Estado de Durango (Jan 2016 to Jan 2020)",12.0
36,Candidate 36,looking for a golang developer with backend experience and scalability expertise,Devops Engineer at DXC Technology (Jun 2022 to N/A)  | Devops Engineer at Dell Technologies (Apr 2019 to May 2022),Not Provided,High School Diploma  at Obuasi Senior High Technical School (N/A to May 2015),6.0
37,Candidate 37,looking for a golang developer with backend experience and scalability expertise,Sales Development Representative at SOLVO GLOBAL (Jan 2023 to Feb 2024)  | Staff Augmentation at ITERUM BPO (Nov 2020 to Dec 2022)  | Cross Sales Agent at KM2 SOLUTIONS (Oct 2019 to Nov 2020),Sales|Market Research|Social Media|Lead Generation|Customer Relationship Management (CRM)|Business-to-Business (B2B)|Sales Processes,Not Provided,10.2
38,Candidate 38,looking for a golang developer with backend experience and scalability expertise,Senior Cloud Architect at Repairify (Jun 2024 to N/A)  | Cloud Architect at Solera (Sep 2020 to Jan 2024)  | Technical Lead at Wipro (Apr 2018 to May 2020)  | Cloud Engineer at Softtek (May 2016 to Apr 2018)  | Database Engineer at Marlabs Software (Nov 2014 to May 2016),DevOps|Amazon Web Services (AWS)|Docker Products,Not Provided,15.0
39,Candidate 39,looking for a golang developer with backend experience and scalability expertise,Software Engineer at BRQ IT Solutions (Jan 2017 to Dec 2017)  | Senior Software Engineer at IBM (Jan 2017 to Dec 2020)  | Developer at Brave (Jan 2015 to Dec 2017)  | Staff Software Engineer at PicPay (N/A to N/A)  | Senior Software Engineer at Uber (N/A to N/A),iOS|Objective-C|Swift (Programming Language)|SQL,Bachelor of Computer Science Computer Science at Federal University of Pelotas (N/A to N/A)  | Master Computer Science at Mackenzie Presbyterian University (N/A to N/A),15.73
40,Candidate 40,looking for a golang developer with backend experience and scalability expertise,Cloud Engineer at McKinsey (Nov 2022 to N/A)  | Cloud Engineer at  (May 2020 to Oct 2022),Not Provided,Bachelor'S Law and Political Sciences at University of Dschang (N/A to N/A),5.1
41,Candidate 41,looking for a golang developer with backend experience and scalability expertise,Software Engineer at Pagerduty (Sep 2023 to May 2024)  | Software Engineer at Potloc (Jan 2023 to Jul 2023)  | Software Engineer at AgendaPro (Jul 2021 to Dec 2022)  | Software Engineer at Optimal Workshop (Mar 2020 to Jun 2021)  | Software Engineer at Globant (Jun 2019 to Mar 2020)  | Software Engineer at AgendaPro (Oct 2018 to May 2019)  | Software Engineer at Buda.com (Oct 2017 to Sep 2018)  | Software Engineer at Groupon (Dec 2014 to May 2017)  | Software Engineer at Groupon (Sep 2012 to Dec 2012)  | Software Developer at Sumavisos (May 2012 to Sep 2012)  | Software Developer at Aycron (Sep 2011 to May 2012)  | Software Developer at Maypun (Jun 2011 to Sep 2011)  | Software Developer at Onuva (Jan 2011 to Mar 2011)  | Software Developer at SAIME (May 2010 to Dec 2010)  | Software Developer at Infoguía (Feb 2010 to Apr 2010)  | Information Technology Consultant at Essplan (Sep 2008 to Feb 2010),Git|Ruby|PostgreSQL|Ruby on Rails|Amazon Web Services (AWS)|React.js,Not Provided,32.38
42,Candidate 42,looking for a golang developer with backend experience and scalability expertise,Aws Cloud Engineer at Verizon Wireless Systems (Aug 2020 to N/A)  | Aws Cloud Engineer at Hartford Financial Service Group (Mar 2018 to Jul 2020),Not Provided,Bachelor Computer Science at University of Buea (N/A to N/A),7.5
43,Candidate 43,looking for a golang developer with backend experience and scalability expertise,Full Stack Developer at BlackBaud (Apr 2020 to N/A)  | Senior Software Engineer at  (Jun 2017 to Mar 2020)  | Associate Software Engineer at Alteryx (Aug 2014 to May 2017)  | Junior Full Stack Developer at OneTrust (Jan 2012 to Jul 2014)  | Software Developer Intern at Epic (Jun 2010 to Dec 2011),Not Provided,Master'S Computer Science at Stetson University (Jan 2013 to Dec 2015)  | Bachelor of Computer Science  at University of Central Florida (Jan 2007 to Dec 2011),19.22
44,Candidate 44,looking for a golang developer with backend experience and scalability expertise,Not Provided,Microsoft Excel|English|Communication,Bachelor'S Management and Simulation at Business. El Bosque University (N/A to Dec 2020),0.6
45,Candidate 45,looking for a golang developer with backend experience and scalability expertise,Full Stack Developer at YELP (Jan 2015 to Jun 2018)  | Software Engineer at CARTA (Jan 2006 to Dec 2010),Not Provided,Bachelor'S Software Engineering at Cleveland State University (N/A to N/A),7.83
46,Candidate 46,looking for a golang developer with backend experience and scalability expertise,Lead Generator at Vesti Technology (Sep 2023 to N/A)  | Lead Generator at Hotbox Technology (Jan 2023 to Jan 2024)  | Sales Associate at Shtudy (Sep 2019 to Jan 2023)  | Marketing at Starrycare UK (Jan 2017 to Jun 2019),Not Provided,Bachelor of Arts English Language at Obafemi Awolowo University (Dec 2012 to Dec 2016),12.0
47,Candidate 47,looking for a golang developer with backend experience and scalability expertise,Quality Assurance Engineer at Moduscreate (Jan 2019 to N/A)  | Automation Engineer at Securelink (Jan 2016 to Jan 2019)  | Quality Assurance Software Engineer at Ex2 Outcoding (Jan 2015 to Dec 2015)  | Quality Assurance Tech Analyst at Accenture (Jan 2012 to Jan 2014)  | Information Technology Consultant at Lanshire (Jan 2011 to Jan 2012)  | Software Developer at Netsoft (Jan 2011 to Jun 2011)  | System Engineer at Office of International Technical Cooperation (Jan 2010 to Jan 2011),Software Development|Quality Assurance|REST APIs|Object-Oriented Programming (OOP)|QA Automation,Computer Engineering at Distance State University (Jan 2013 to Dec 2015)  | Bachelor Information Systems Engineering at National University of Costa Rica (Jan 2007 to Dec 2011),24.4
48,Candidate 48,looking for a golang developer with backend experience and scalability expertise,Associate System Engineer at IBM India (Jan 2015 to Dec 2019),Not Provided,"Bachelor Electronics, Communication and Engineering at University of Calicut (Jan 2010 to Dec 2014)  | Aisse  at CBSE India (N/A to Dec 2008)  |   at AISSCE (Class XII (N/A to Dec 2010)",3.3
49,Candidate 49,looking for a golang developer with backend experience and scalability expertise,Associate at Wiley Global Technology (Jun 2022 to N/A)  | Senior Quality Assurance Engineer at Intrepid Group (Sep 2020 to Jun 2022)  | Senior Quality Assurance Engineer at  (Mar 2013 to Apr 2020)  | Quality Assurance Engineer at Allion Technologies (Pvt) (Sep 2011 to Mar 2013)  | Associate Software Quality Assurance Engineer at Virtusa (Pvt) (Jul 2010 to Aug 2011),Quality Assurance|Agile Methodologies|Product Quality,Bachelor of Science Information Technology at University of Moratuwa (Jan 2005 to Dec 2009)  | Certificate Quality Assurance at ISTQB (N/A to N/A),18.0
50,Candidate 50,looking for a golang developer with backend experience and scalability expertise,General Operations Consultant at Inter-American Development Bank (Jul 2022 to Jul 2023)  | Quality Assurance at Routing (Sep 2021 to Jun 2022)  | Quality Assurance Automation Engineer at The Optimal Partner (N/A to N/A),Not Provided,Bachelor of Engineering Informatics at Universidad Mayor (N/A to N/A)  | Certificate Development at Laboratoria (N/A to N/A),10.2
51,Candidate 51,looking for a golang developer with backend experience and scalability expertise,Sales Development Representative at TRINITYLOGISTICS (Jan 2021 to N/A)  | Business Development Representative at ALLIED LOGISTICS PARTNERS (Jan 2018 to Dec 2021),Not Provided,Not Provided,6.6
52,Candidate 52,looking for a golang developer with backend experience and scalability expertise,Not Provided,Not Provided,Bachelor of Science Computer Science at University of Buea (N/A to N/A),0.6
53,Candidate 53,looking for a golang developer with backend experience and scalability expertise,Quality Assurance Engineer at Coder house (Jan 2020 to Dec 2021)  | Analista Qa Sr at CPA ASSURE (Jan 2019 to Dec 2019)  | Analista Qa at JR (Jan 2018 to Dec 2019)  | Product at Coder House (N/A to N/A),Quality Assurance|JavaScript|Microsoft Azure|QA Automation|React.js,Education Digital Business and Administration at Dropped - Argentinean Business School (Jan 2023 to Dec 2023),12.3
54,Candidate 54,looking for a golang developer with backend experience and scalability expertise,Quality Assurance Engineer at HCHK Technologies (Nov 2021 to N/A)  | Quality Assurance Analyst at Markit (Feb 2015 to Nov 2021)  | Software Test Engineer at CareFirst (Jun 2014 to Jan 2015)  | Software Test Engineer at JP Morgan Chase (Jan 2014 to May 2014),Not Provided,Bachelor of Science Computer Science at Mount Royal University (N/A to Nov 2013),13.5
55,Candidate 55,looking for a golang developer with backend experience and scalability expertise,Senior Software Engineer at março de (Jan 2024 to N/A)  | Software Engineer at Ateliê de Software (N/A to N/A)  | Ruby on Rails Developer at Poços de Caldas (N/A to N/A)  | Assistente Técnico Em Redes at Botelhos (N/A to N/A)  | Software Engineer at Delivery Center (N/A to N/A)  | Desenvolvedor Web Júnior at Poços de Caldas (N/A to N/A)  | Desenvolvedor Full Stack at Poços de Caldas Area (N/A to N/A)  | Software Engineer at Sofi (N/A to N/A)  | Customer Support Analyst at Poços de Caldas (N/A to N/A),Not Provided,Bacharelado  at Pontifical Catholic University of Minas Gerais (Jan 2015 to Dec 2019),28.41
